Course Name,URL
Google Data Studio A-Z: Looker Studio for Data Visualization,https://www.udemy.com/course/google-data-studio-by-starttech/
Excel Hacking,https://www.udemy.com/course/excel-hacking-real-strategies-for-excel-masterytemplates/
Microsoft Office 365 Administration,https://www.udemy.com/course/microsoft-office-365-administration-c/
MS Office - Advanced - Efficiency Training,https://www.udemy.com/course/ms-office-efficiency/
Microsoft Excel 2010 Course Beginners/ Intermediate Training,https://www.udemy.com/course/excel-tutorial/
Excel with Top Microsoft Excel Hacks,https://www.udemy.com/course/excel-with-top-microsoft-excel-hacks/
Master Microsoft Outlook - Outlook from Beginner to Advanced,https://www.udemy.com/course/master-microsoft-outlook-2016-from-beginner-to-advanced/
The Complete PowerPoint and Presentation Skills Masterclass,https://www.udemy.com/course/the-complete-powerpoint-and-presentation-skills-masterclass/
Apple Mac Basics - The Complete Course for beginners,https://www.udemy.com/course/apple-mac-os-the-complete-course/
Business Data Analysis with Microsoft Excel and Power BI,https://www.udemy.com/course/business-data-analysis-with-microsoft-excel/
Kaizen Practitioner Masterclass for Quality Management.,https://www.udemy.com/course/kaizen-practitioner-masterclass/
Remote Worker's Guide to Time Management,https://www.udemy.com/course/timemanagementforremoteworkers/
SAP S/4HANA Sourcing & Procurement (MM-Materials Management),https://www.udemy.com/course/sap-s4hana-mm-sourcing-and-procurement/
Excel 2013,https://www.udemy.com/course/excel-2013/
Try Udemy Business,https://www.udemy.com/udemy-business/request-demo-mx/?ref=right-rail&locale=en_US
"Pivot Tables, Power Pivot Tables, Power Query & Power BI",https://www.udemy.com/course/excel-with-excel-pivot-tables/
Complete Introduction to Google Sheets Pivot Tables - 2023,https://www.udemy.com/course/data-analysis-with-google-sheets-pivot-tables-and-charts/
Beginners Guide to Microsoft Excel Pivot Tables,https://www.udemy.com/course/ms-excel-pivot-tables/
Infographic PowerPoint Presentation: From Beginner to Pro,https://www.udemy.com/course/powerpoint-design-animation/
"Getting Started with Google Office: Docs, Sheets, Slides",https://www.udemy.com/course/google-office-docs-sheets-slides/
SAP S/4HANA Finance Training (vs SAP FICO),https://www.udemy.com/course/sap-s4hana-finance-training-fico/
Microsoft Excel 2013 Course Beginners/ Intermediate Training,https://www.udemy.com/course/microsoft-excel-2013-course-beginners-intermediate-training/
Fundamentals of Microsoft Planner,https://www.udemy.com/course/fundamentals-of-microsoft-planner/
Microsoft Azure Solutions (Exam 70-533) – 9 Course Bundle,https://www.udemy.com/course/azure-cloud-services-6-course-bundle/
SAP Project Essentials: Implementing SAP S/4HANA and SAP ERP,https://www.udemy.com/course/sap-erp-project/
Microsoft Office Essential Skills,https://www.udemy.com/course/microsoft-office-essential-skills/
Master all the MS Excel Macros and the basics of Excel VBA,https://www.udemy.com/course/master-all-the-ms-excel-macros-and-the-basics-of-excel-vba/
Typing Mastery: Learn to Type,https://www.udemy.com/course/learn-to-type/
SAP MM Purchasing Simplified for Beginners,https://www.udemy.com/course/sap-mm-purchasing-simplified-for-beginners/
SAP SD - Order to Cash Simplified for Beginners,https://www.udemy.com/course/sap-sd-order-to-cash-simplified-for-beginners/
Advanced Microsoft Excel Formulas & Functions - 2023,https://www.udemy.com/course/advanced-microsoft-excel-formulas-functions/
Try Udemy Business,https://www.udemy.com/udemy-business/request-demo-mx/?ref=right-rail&locale=en_US
Become an SAP HCM Consultant,https://www.udemy.com/course/become-an-sap-hcm-consultant/
Microsoft Excel - Excel with The Ultimate Excel Course,https://www.udemy.com/course/excel-with-the-ultimate-microsoft-excel-course/
How to use Vlookup in Excel - A simplest tutorial,https://www.udemy.com/course/how-to-use-vlookup-in-excel-a-simplest-tutorial/
No Nonsense Excel Pivot Tables Pro Course,https://www.udemy.com/course/intensive-pivot-table-course-learn-everything-in-1-hour/
Excel VBA: How to Write Macros Like a Professional,https://www.udemy.com/course/excel-vba-how-to-write-like-a-professional/
Beginner: Complete Basics of SAP PO (Process Orchestration),https://www.udemy.com/course/beginner-complete-basics-of-sap-process-orchestration/
SharePoint 365 Fundamentals of Site Management- Intermediate,https://www.udemy.com/course/office-365-sites/
The Complete Power BI Practical Course 2023,https://www.udemy.com/course/the-complete-power-bi-practical-course/
The Complete iMovie Course - from Beginner to Advanced 2022!,https://www.udemy.com/course/the-complete-imovie-course/
Microsoft Excel: Beginner to Advanced for 2023,https://www.udemy.com/course/learn-advanced-excel-in-animation/
The Ultimate SAP S/4HANA Course 2023: From Zero to Expert,https://www.udemy.com/course/sap-s4hana-erp/
Microsoft Access: Complete MS Access Mastery for Beginners,https://www.udemy.com/course/microsoft-access-2016-for-beginners/
Google Forms Ultimate Guide,https://www.udemy.com/course/learn-google-forms/
ServiceNow Kickstart: Basic Skills for CMDB Administration,https://www.udemy.com/course/servicenow-kickstart/
Ultimate Guide to Microsoft PowerPoint for All Levels,https://www.udemy.com/course/shortest-powerpoint/
Complete Introduction to Excel Pivot Tables [2023 Edition],https://www.udemy.com/course/excel-master-class-pivot-tables-and-pivot-charts/
Try Udemy Business,https://www.udemy.com/udemy-business/request-demo-mx/?ref=right-rail&locale=en_US
Apple Mac OS X Superuser - Use Mac OS X like a Pro - 2023,https://www.udemy.com/course/how-to-use-mac-os-x/
Microsoft Excel 2016 Master Class: Beginner to Advanced,https://www.udemy.com/course/excel-2016-tutorial/
Beginners to Expert Excel and Excel VBA 38 Hours Mega Course,https://www.udemy.com/course/excel2016course/
OWASP: Threats Fundamentals,https://www.udemy.com/course/owasp-threats-fundamentals/
Visual Basic for Excel - Microsoft VBA Excel Tutorial,https://www.udemy.com/course/learning-visual-basic-for-microsoft-excel/
Excel with Microsoft Excel VBA User Forms,https://www.udemy.com/course/excel-with-microsoft-excel-vba-user-forms/
7 Steps To Excel Success - Excel Skills And Power Tips,https://www.udemy.com/course/steps-to-excel-success/
A complete guide to Microsoft Word 2013,https://www.udemy.com/course/microsoft-word-2013-c/
Learn Microsoft Windows 11: Comprehensive Windows 11 Course,https://www.udemy.com/course/learn-microsoft-windows-11/
"Mastering Windows PowerShell v5.1 & 7, Beginner to Advanced",https://www.udemy.com/course/windows-powershell/
Effective use of OneNote 2013 in real life,https://www.udemy.com/course/onenote2013/
"SharePoint 2016 Site Owner, User, & 365 (3-course bundle)",https://www.udemy.com/course/sharepoint-2016-site-owner-user-365-3-course-bundle/
Macros & VBA Excel,https://www.udemy.com/course/ioniya-macros-vba-excel/
Excel VBA - The Complete Excel VBA Course for Beginners,https://www.udemy.com/course/excel-vba-course/
Oracle Data Integrator (ODI) 12c Developer Course,https://www.udemy.com/course/oracle-data-integrator-odi-12c-developer-course/
PowerPoint Presentation Slide Design and Animation,https://www.udemy.com/course/powerpoint-presentation-slide-design-and-animation/
Try Udemy Business,https://www.udemy.com/udemy-business/request-demo-mx/?ref=right-rail&locale=en_US
Complete Excel Mastery: Microsoft Excel Beginner to Advanced,https://www.udemy.com/course/microsoft-excel-2016-complete-beginner-to-advanced-excel-course/
Introduction to Microsoft Excel VBA,https://www.udemy.com/course/introduction-to-microsoft-excel-vba/
Excel Macros & Excel VBA Programming for Beginners,https://www.udemy.com/course/excel-macros-excel-vba-for-non-programmers/
Learn SAP ABAP by Doing,https://www.udemy.com/course/learn-sap-abap-by-doing/
PowerPoint & Excel Fusion (+250 PowerPoint Slides),https://www.udemy.com/course/powerpoint-excel-fusion-exec-strategies-250-slide-deck/
200+ PL/SQL Interview Questions,https://www.udemy.com/course/plsql-interview-questions/
Complete Introduction to Excel Power Pivot [2023 Edition],https://www.udemy.com/course/excel-master-class-power-pivot-data-model-and-dax-formulas/
Slack: Less email. More productive.,https://www.udemy.com/course/slack-less-email-more-productive/
Advanced Excel for HR Managers | Automation & Analytics,https://www.udemy.com/course/advanced-excel-for-hr-analytics/
"MS Office; Excel, Word, Access & PowerPoint 2019 - Beginners",https://www.udemy.com/course/ms-office-excel-word-access-powerpoint-2019-beginners/
Mastering Microsoft Excel - Essential Training for all,https://www.udemy.com/course/mastering-excel-essential-training-for-all/
Complete Introduction to AWS QuickSight [2023 Edition],https://www.udemy.com/course/complete-introduction-to-aws-quicksight-2020-edition/
Use Excel Like A Pro. Fast.,https://www.udemy.com/course/use-excel-like-a-pro-fast/
"Master Decision making with "" Excel What-If Analysis""!",https://www.udemy.com/course/business-decision-making-with-excel-what-if-analysis/
Azure - Active Directory,https://www.udemy.com/course/azure-active-directory/
Introduction to Microsoft Project 2013,https://www.udemy.com/course/introduction-to-microsoft-project-2013/
Try Udemy Business,https://www.udemy.com/udemy-business/request-demo-mx/?ref=right-rail&locale=en_US
Microsoft Excel : Get All You Need To Know And Do!,https://www.udemy.com/course/microsoft-excel-from-basics-to-advanced-in-rapid-time/
"Microsoft Project Course Complete, 2013, 2016, & 2019 6 PDUs",https://www.udemy.com/course/microsoft-project-course/
Excel Data Analysis For Dummies,https://www.udemy.com/course/excel-data-analysis-for-dummies/
SAP ABAP Core Data Services ( CDS Views ) for S/4 HANA,https://www.udemy.com/course/sap-abap-core-data-services/
SAP Logistic Execution,https://www.udemy.com/course/sap-logistic-execution-r3/
"SAP S/4HANA Training with SAP HANA, S4 HANA Finance & FIORI",https://www.udemy.com/course/sap-s4hana-training-hana-s4-hana-finance-fiori/
PowerPoint Animation Deep Dive: Office Ninja Training,https://www.udemy.com/course/powerpoint-animation/
SAP Sales and Distribution (SD) Super User Training,https://www.udemy.com/course/sap-sales-and-distribution-sd-super-user-training/
Mac Numbers: Creating and Using Spreadsheets On Your Mac,https://www.udemy.com/course/mac-numbers/
"Excel For Beginners! Top 30 Hottest Tutorials,Tips & Tricks!",https://www.udemy.com/course/excel-made-easy/
Microsoft Word VBA Macro Programming - Introduction,https://www.udemy.com/course/gcs-microsoft-word-vba-macro-programming-introduction/
Most Essential & Popular Excel Formulas And Functions - 2023,https://www.udemy.com/course/most-essential-popular-excel-formulas-and-functions/
77-727 Microsoft Excel 2016 Core Certification,https://www.udemy.com/course/microsoft-office-specialist-excel-core-exam-77-727/
Oracle Database Administration for Absolute Beginners,https://www.udemy.com/course/oracledba/
SAP Financial Accounting and Controlling Super User Training,https://www.udemy.com/course/sap-financial-accounting-and-controlling-super-user-training/
Must-Have Tools for Virtual Assistants in 2023,https://www.udemy.com/course/must-have-tools-for-virtual-assistants/
Try Udemy Business,https://www.udemy.com/udemy-business/request-demo-mx/?ref=right-rail&locale=en_US
Smart and effective notes using OneNote 2010,https://www.udemy.com/course/smart-and-effective-notes-using-microsoft-onenote-2010/
Learn Excel 2016 Intermediate Level - Beyond the Basics,https://www.udemy.com/course/learn-microsoft-excel-2016-intermediate-training-course/
Introduction to Microsoft Word 2013,https://www.udemy.com/course/introduction-to-microsoft-word-2013-training/
Microsoft Excel Pivot Tables - Master Excel Pivot Tables!,https://www.udemy.com/course/excel-with-excel-pivot-tables-free-tutorial/
"ChatGPT Masters: AI Prompt Engineering, Midjourney, Chat GPT",https://www.udemy.com/course/chatgpt-masterclass-start-using-chatgpt/
Administration and Automation with Windows PowerShell,https://www.udemy.com/course/administration-and-automation-with-windows-powershell/
Excel with Interactive Excel Dashboards,https://www.udemy.com/course/excel-dashboard/
SAP BusinessObjects Essential Training,https://www.udemy.com/course/sap-bi-bo/
Google Advanced Search: Find Stuff Like a Boss,https://www.udemy.com/course/google-advanced-search/
SAP ABAP : Enhancement & Modification to SAP Standard,https://www.udemy.com/course/sap-abap-enhancement-modification/
Excel for Beginners,https://www.udemy.com/course/excel-for-beginners-kevin-stratvert/
Microsoft Excel Ultimate Guide,https://www.udemy.com/course/learn-microsoft-excel-/
SAP S/4HANA - Learn ABAP Programming model for SAP S/4 HANA,https://www.udemy.com/course/abap-development-in-s4hana/
Microsoft 365 Teams - Beginner,https://www.udemy.com/course/office-365-teams/
SAP : Supply Chain Logistics & Transportation in S/4 HANA,https://www.udemy.com/course/sap-supply-chain-logistics-transportation-in-s4-hana/
Google Drive Ultimate Guide,https://www.udemy.com/course/learn-google-drive-from-beginner-to-advanced/
Try Udemy Business,https://www.udemy.com/udemy-business/request-demo-mx/?ref=right-rail&locale=en_US
SharePoint Online for Administrators,https://www.udemy.com/course/sharepoint-online-for-administrators/
Microsoft Excel - Data Analytics Power Query and PivotTables,https://www.udemy.com/course/microsoft-excel-data-analytics-power-query-and-pivottables/
Microsoft Excel Advanced Functions with INDEX and MATCH,https://www.udemy.com/course/microsoft-excel-advanced-functions-with-index-and-match/
SharePoint Online for Users,https://www.udemy.com/course/sharepoint-online-for-users/
Microsoft Excel - MS Excel Formulas & Functions in just 3hrs,https://www.udemy.com/course/microsoft-excel-basic-excel-formulas-and-functions/
Master Microsoft Access - Access from Beginner to Advanced,https://www.udemy.com/course/microsoft-access-2016-access-from-beginner-to-advanced/
Best Excel Course: Data Cleaning - For further Data Analysis,https://www.udemy.com/course/excel-advanced-go-to-special-sanitizing-text-formulas/
Gmail Complete Course: 25+ Google email Techniques,https://www.udemy.com/course/your-gmail-productivity-unleashed-destroy-gmail-timewasters/
Master Microsoft PowerPoint 2016 the Easy Way,https://www.udemy.com/course/master-microsoft-powerpoint-2016-the-easy-way/
Master Microsoft Word - Word from Beginner to Advanced,https://www.udemy.com/course/microsoft-word-from-beginner-to-advanced/
Effective use of Outlook 2010,https://www.udemy.com/course/effectiveoutlook2010/
Microsoft Excel 2016 Training: Beginner to Intermediate,https://www.udemy.com/course/microsoft-excel-2016-training-online-course/
Learn SAP BEx Analyzer - Training Course,https://www.udemy.com/course/learn-sap-bw-bex-analyzer-online-video-training-course/
